"price","boro","distances"
69,"Manhattan",211.113130368879
299,"Manhattan",785.774326006727
225,"Manhattan",377.201378131712
139,"Manhattan",7.96048675540403
65,"Manhattan",390.099164172675
222,"Manhattan",750.765801445427
199,"Manhattan",288.43294496585
250,"Manhattan",713.093268793011
70,"Manhattan",292.525501322304
65,"Manhattan",152.340587621705
249,"Manhattan",192.196836456937
100,"Manhattan",421.55462631964
300,"Manhattan",642.556891041004
175,"Manhattan",27.5240611726596
65,"Manhattan",339.040610533705
90,"Manhattan",514.20145270541
380,"Manhattan",498.615848643346
75,"Manhattan",291.867106072487
120,"Manhattan",300.482982076007
115,"Manhattan",259.506747899469
56,"Manhattan",56.0068301570675
60,"Manhattan",272.410784074848
125,"Manhattan",39.6266897961188
250,"Manhattan",354.034056320558
40,"Manhattan",114.233349883753
300,"Manhattan",342.776089426348
150,"Manhattan",359.865134185996
120,"Manhattan",253.988881313467
165,"Manhattan",841.76057504779
150,"Manhattan",118.683773876638
120,"Manhattan",792.704213764815
190,"Manhattan",590.416674172851
300,"Manhattan",303.862620868604
520,"Manhattan",230.004589445746
99,"Manhattan",287.623327095301
125,"Manhattan",200.79788396831
200,"Manhattan",197.987330683353
70,"Manhattan",197.158405876771
43,"Manhattan",273.42254529096
100,"Manhattan",155.75383266645
215,"Manhattan",451.073659346834
300,"Manhattan",70.8775877751742
99,"Manhattan",629.054707129131
295,"Manhattan",149.476590050322
292,"Manhattan",425.677836364128
150,"Manhattan",935.638368501068
97,"Manhattan",262.214457232456
112,"Manhattan",252.743930926237
100,"Manhattan",372.091549455206
333,"Manhattan",242.923437583837
63,"Manhattan",168.261282485124
55,"Manhattan",153.464122046827
260,"Manhattan",573.95105275027
329,"Manhattan",32.7495724137751
370,"Manhattan",133.328398761122
211,"Manhattan",239.811849574772
248,"Manhattan",278.740927361631
350,"Manhattan",668.192466751699
264,"Manhattan",187.681132347079
140,"Manhattan",164.97446888883
200,"Manhattan",454.114589594805
47,"Manhattan",291.485242574713
120,"Manhattan",299.481777110128
189,"Manhattan",254.063801790586
34,"Manhattan",80.3466374065243
250,"Manhattan",86.5735043296574
359,"Manhattan",70.0921837299197
50,"Manhattan",261.431650035966
950,"Manhattan",98.8691119141184
253,"Manhattan",137.66271389947
52,"Manhattan",829.316035041838
250,"Manhattan",59.2370395044433
65,"Manhattan",264.38283825369
80,"Manhattan",50.4517713640841
500,"Manhattan",353.449399223282
220,"Manhattan",28.1049698910982
434,"Manhattan",694.273987174084
85,"Manhattan",319.46719260798
110,"Manhattan",43.5045020431367
200,"Manhattan",318.416186060164
200,"Manhattan",114.336570737643
349,"Manhattan",458.901121003282
189,"Manhattan",171.240402000442
120,"Manhattan",677.84258602614
70,"Manhattan",222.321385975456
209,"Manhattan",228.610952471426
80,"Manhattan",115.561246673826
60,"Manhattan",138.412155792194
299,"Manhattan",252.204698558242
65,"Manhattan",201.797365968782
197,"Manhattan",133.678546384589
99,"Manhattan",414.8831837924
60,"Manhattan",350.914939155587
60,"Manhattan",711.601121873972
250,"Manhattan",120.138000350341
72,"Manhattan",167.67625673352
250,"Manhattan",532.232923687636
100,"Manhattan",275.268326848625
132,"Manhattan",119.761465280722
95,"Manhattan",55.2947781851925
299,"Manhattan",351.745818602996
211,"Manhattan",80.7215220043155
70,"Manhattan",297.469455402991
53,"Manhattan",222.99450162078
128,"Manhattan",204.989970970674
800,"Manhattan",292.858267645994
160,"Manhattan",282.361378300504
316,"Manhattan",64.0829627290573
188,"Manhattan",60.8317184572703
175,"Manhattan",208.121536148222
77,"Manhattan",590.278200443354
488,"Manhattan",64.3195976148348
244,"Manhattan",432.732181020482
150,"Manhattan",185.954031887164
200,"Manhattan",184.857971825266
300,"Manhattan",361.819052831894
168,"Manhattan",297.005374151563
150,"Manhattan",355.926174727741
325,"Manhattan",263.106863813313
90,"Manhattan",399.109867458154
200,"Manhattan",249.457754428057
79,"Manhattan",184.201364384099
75,"Manhattan",181.144451108184
160,"Manhattan",547.691985928917
84,"Manhattan",236.541612016693
180,"Manhattan",195.305617968198
165,"Manhattan",168.929923541765
120,"Manhattan",41.7438559825727
200,"Manhattan",192.083627233969
124,"Manhattan",153.735384456515
150,"Manhattan",410.695191862283
74,"Manhattan",280.276012974807
182,"Manhattan",193.271093042413
109,"Manhattan",344.155049624293
110,"Manhattan",610.694149028704
124,"Manhattan",1048.34631022831
75,"Manhattan",570.164944802213
208,"Manhattan",77.2986835623554
430,"Manhattan",342.470691222722
183,"Manhattan",29.0420846701391
219,"Manhattan",267.613014393444
304,"Manhattan",260.226733578684
70,"Manhattan",133.046689248537
129,"Manhattan",253.487462883589
192,"Manhattan",225.211821704621
155,"Manhattan",400.999459858584
205,"Manhattan",202.036012802903
200,"Manhattan",631.502618675567
182,"Manhattan",132.586621741131
45,"Manhattan",634.727274818827
300,"Manhattan",6.99977813612059
299,"Manhattan",236.414731849052
79,"Manhattan",466.440671057599
100,"Manhattan",38.5137456876151
100,"Manhattan",92.2922993588961
100,"Manhattan",124.192542295321
100,"Manhattan",42.3938145666893
100,"Manhattan",76.939525895137
110,"Manhattan",465.755658066808
275,"Manhattan",140.691733869084
225,"Manhattan",471.405052170104
49,"Manhattan",146.188133315763
182,"Manhattan",142.518502291165
60,"Manhattan",245.816587641228
135,"Manhattan",197.798289998392
100,"Manhattan",180.867018007155
79,"Manhattan",259.863366751872
172,"Manhattan",774.08212033487
200,"Manhattan",468.766517756826
110,"Manhattan",236.726690908355
129,"Manhattan",246.011670803919
125,"Manhattan",519.185936324063
199,"Manhattan",91.8424506892834
55,"Manhattan",214.980724595821
168,"Manhattan",284.86324448249
160,"Manhattan",289.566555106088
200,"Manhattan",791.500048671291
215,"Manhattan",101.112356325289
100,"Manhattan",806.693336875341
229,"Manhattan",339.081407211415
109,"Manhattan",296.125672755437
445,"Manhattan",171.073185615768
66,"Manhattan",172.831638210887
120,"Manhattan",235.217739575124
195,"Manhattan",95.9815240571125
1200,"Manhattan",131.292400165853
489,"Manhattan",144.231895105137
189,"Manhattan",70.043091672401
249,"Manhattan",155.669773574975
425,"Manhattan",101.292038095633
180,"Manhattan",245.882851814261
60,"Manhattan",198.72484810618
150,"Manhattan",272.699789768233
200,"Manhattan",726.203279889668
85,"Manhattan",36.0599750871962
200,"Manhattan",444.285251183148
220,"Manhattan",142.657925443396
280,"Manhattan",828.746256243805
84,"Manhattan",216.799066764179
200,"Manhattan",269.985081424043
116,"Manhattan",231.477577254841
143,"Manhattan",188.492807123716
47,"Manhattan",144.191580818091
139,"Manhattan",336.388698790033
250,"Manhattan",410.977718774014
1000,"Manhattan",115.844065473191
90,"Manhattan",135.43082315537
220,"Manhattan",523.073365869507
56,"Manhattan",558.612981746529
90,"Manhattan",357.080020074403
175,"Manhattan",200.884453222674
45,"Manhattan",297.910551479274
135,"Manhattan",332.552116761026
299,"Manhattan",229.019910861573
999,"Manhattan",148.970322984608
240,"Manhattan",159.185868930189
179,"Manhattan",94.2317456885987
225,"Manhattan",309.455349765339
299,"Manhattan",211.890691764247
35,"Manhattan",100.497395312598
299,"Manhattan",302.84252431962
125,"Manhattan",55.4242328158225
139,"Manhattan",232.073821066013
159,"Manhattan",99.7767683225165
115,"Manhattan",10.1728566805548
225,"Manhattan",230.859453120255
